Název mapy,Odkaz na StareMapy.cz
Klíč smluvených značek pro mapy v m. 1 : 10 000 a 1 : 5 000,http://staremapy.georeferencer.cz/map/pU4IJbqFH89JiVOOPU1WqN/201501221719-HG3XpZ/georeference,Národní technické muzeum
"Paasche's Frontenkarte, Nr.10. Der Krieg gegen Russland",http://staremapy.georeferencer.cz/map/rwVmKoncz6MMzjNMDKKHcc/201501281346-Qgdca7/georeference,Národní technické muzeum
Liste des Rues et Plan de Marseille,http://staremapy.georeferencer.cz/map/L1SeRtxCeJOh21SQgqRynx/201502032112-S6UV15/georeference,Národní technické muzeum
Moravia,http://staremapy.georeferencer.cz/map/dzQjVct68IzISTf9aGVnwQ/201503271905-0HatPc/georeference,Národní technické muzeum
Ethnographische Karte von Europäischen Türkei…,http://staremapy.georeferencer.cz/map/Ij4D0QHajlQTqUBuqm1ZTh/201502041257-jJqhY9/georeference,Národní technické muzeum
Panorama der Elbe von Obřistwy in Böhmen,http://staremapy.georeferencer.cz/map/2rx37gHmNRjeAW788JDI9F/201502050044-SEqZkX/georeference,Národní technické muzeum
Straube´s Wegekarte vom Riesen- und Iser-Gebirge,http://staremapy.georeferencer.cz/map/mg8vydrkZYbURW33YCJMUk/201502071645-VpvIKj/georeference,Národní technické muzeum
Panorama der Elbe von Obřistwy in Böhmen,http://staremapy.georeferencer.cz/map/Y0V6P1mlkpGYM8VhtI93BI/201502071452-0wwswe/georeference,Národní technické muzeum
Calculus Eclipsis Solis Observatae die 19. Novemberis 1816,http://staremapy.georeferencer.cz/map/IrwWVxXadkXdIzEVJcwebH/201502071645-vaaDOr/georeference,Národní technické muzeum
Vollständig und bester neuester Plan von Wien,http://staremapy.georeferencer.cz/map/NQ2Yggys0c5g3pZM1BQw5H/201502081414-D9NmTQ/georeference,Národní technické muzeum
Příruční mapa markrabství Moravského a vévodství Slezského,http://staremapy.georeferencer.cz/map/HKGkP9mFs1aZUKsjAZs9rW/201510181842-zNgUnW/georeference,Národní technické muzeum
Paris monumental,http://staremapy.georeferencer.cz/map/b7Zri9iGoxwQT66mRNRjkT/201502272252-mM5oOw/georeference,Národní technické muzeum
Panorama der Elbe von Obřistwy in Böhmen,http://staremapy.georeferencer.cz/map/3ym7vWfgrhASrdvnW3pkFV/201502282052-W0gszu/georeference,Národní technické muzeum
Österreichisch - Ungarische Monarchie,http://staremapy.georeferencer.cz/map/h34m3YaC0igwDGfA9ofuek/201502280750-V58Orb/georeference,Národní technické muzeum
Länder und Völkerkarte Europas. Volkstum und Staatenbildung,http://staremapy.georeferencer.cz/map/FirBKSMHTizfsj4GHSTcis/201502281206-0Imfpx/georeference,Národní technické muzeum
Liste des Rues et Plan de Marseille,http://staremapy.georeferencer.cz/map/zKsmpHfR0Plst52djXwjHX/201503021908-Zf1wID/georeference,Národní technické muzeum
Praha - informační plán,http://staremapy.georeferencer.cz/map/0fX6xZVPloVIp8IISeHhdd/201503192027-Suhg6g/georeference,Národní technické muzeum
Brunn's Plan von München,http://staremapy.georeferencer.cz/map/5Bl4FAiCZpLUmELKOv1Vwx/201503022001-3n3O3b/georeference,Národní technické muzeum
Stereofotogrammetrische Vermessung Steinbruch Ladce,http://staremapy.georeferencer.cz/map/RCLoSrqSpOVa7bLc6FirhP/201503091935-cdlUbX/georeference,Národní technické muzeum
Instruktion für die Evidenzhaltung der Kartenwerke,http://staremapy.georeferencer.cz/map/lFOwL8Tzv6Ii3dD91nYt0t/201503031629-1dqq9K/georeference,Národní technické muzeum
Instruktion für die Evidenzhaltung der Kartenwerke,http://staremapy.georeferencer.cz/map/rKJW9NJIig7PfKwTINlnQz/201503031112-1rcrJm/georeference,Národní technické muzeum
Panorama der Elbe von Obřistwy in Böhmen,http://staremapy.georeferencer.cz/map/0oaIWrzjUuyIrBZut19oVF/201503311350-TQ7DQB/georeference,Národní technické muzeum
Pharus-Plan Frankfurt a/M,http://staremapy.georeferencer.cz/map/4TtY6qtrjUqC2H0nPD4Hdn/201504010351-NExJaQ/georeference,Národní technické muzeum
Přehledná geologická mapa zemí sudetských,http://staremapy.georeferencer.cz/map/3gZSjEKztlr1yXyIDxvtmF/201503300344-NMUInc/georeference,Národní technické muzeum
Nejnovější a nejúplnější plán král. hlav. města Prahy,http://staremapy.georeferencer.cz/map/PpU6RQaJC07I98FOh6EdDO/201505301904-4heJw0/georeference,Národní technické muzeum
Pohled na České středohoří od Kunratic u Litoměřic,http://staremapy.georeferencer.cz/map/GZaUOta3jNRSRqaT3e3hMC/201506221409-Uf6qIp/georeference,Národní technické muzeum
Isochronická mapa Čech,http://staremapy.georeferencer.cz/map/frgi8Z7AnFyMG9Fdwk2FV0/201507071604-DwrOK5/georeference,Národní technické muzeum
Liste des Rues et Plan de Marseille,http://staremapy.georeferencer.cz/map/Vm9W5Me8IRpUIwexv6LIJH/201507140521-2F2NxK/georeference,Národní technické muzeum
Neuester und vollständigster Plan der königl. Haupstadt Prag und der Vororten,http://staremapy.georeferencer.cz/map/vZBRgIgAjejzcciApZpR9o/201507210941-I7ds0C/georeference,Národní technické muzeum
Polohopisný plán zakoupených pozemků ke stavbě městské plynárny v Michli,http://staremapy.georeferencer.cz/map/YflydPkbVxXA3i8jIf4Qhe/201507221334-SsP5vB/georeference,Národní technické muzeum
Ethnographische Karte von Europäischen Türkei…,http://staremapy.georeferencer.cz/map/yEAS0NjMEu5yR0BRikGPrU/201507230554-4r38pc/georeference,Národní technické muzeum
Bez titulu: Situační plán nábřeží,http://staremapy.georeferencer.cz/map/DXsUJpQj6FeL3RDZVhpMmm/201507241326-pTU6tf/georeference,Národní technické muzeum
Přehledná geologická mapa zemí sudetských,http://staremapy.georeferencer.cz/map/nPFCa0qjS56yZyv6FLihM2/201505311348-QXmfK4/georeference,Národní technické muzeum
Karte der Schweiz,http://staremapy.georeferencer.cz/map/UQMRT9DtZEbVtMh6R1IQG8/201507261706-gRImrU/georeference,Národní technické muzeum
"Mapa Čech z 2. poloviny XVI. století, typu Crigingerova",http://staremapy.georeferencer.cz/map/IiWLF7bRIDrJTlueHw9UYo/201508030429-hrZRIq/georeference,Národní technické muzeum
Neuester und vollständigster Plan der königl. Haupstadt Prag und der Vororten,http://staremapy.georeferencer.cz/map/8GgOAntRE0TqefFlXzt8rT/201508081037-Dnocb6/georeference,Národní technické muzeum
Brunn's Plan von München,http://staremapy.georeferencer.cz/map/z9e2gYp7pEOxXqd24HtVvS/201507291403-rTuVpp/georeference,Národní technické muzeum
Straube´s Wegekarte vom Riesen- und Iser-Gebirge,http://staremapy.georeferencer.cz/map/YM7i2DoXxrHZBLhfG5uaRc/201507310518-HkL6sV/georeference,Národní technické muzeum
Atlas hvězdné oblohy,http://staremapy.georeferencer.cz/map/Gb3tZm7LrvbGLmOnuJyjWz/201508091332-GtCUOQ/georeference,Národní technické muzeum
Hvězdná mapa severní oblohy,http://staremapy.georeferencer.cz/map/ttOiZKKEHVB29jVuF6fcea/201508041702-Giqzgu/georeference,Národní technické muzeum
"Mapa Čech z 2. poloviny XVI. století, typu Crigingerova",http://staremapy.georeferencer.cz/map/7mc4SxUZgWSmT49jAnxYIY/201508030438-y78G7j/georeference,Národní technické muzeum
Reisehandbuch für das Königreich Böhmen,http://staremapy.georeferencer.cz/map/QREzwbtEKifuL9n8q65jjl/201510090837-c40PQV/georeference,Národní technické muzeum
Eigentlich Vorbildung des Schönen...,http://staremapy.georeferencer.cz/map/H85rDiQpBFeBpFNekCmnVC/201510300804-oTUhYR/georeference,Národní technické muzeum
Mapa Měsíce,http://staremapy.georeferencer.cz/map/D3Iani6IqTaXGnseIv2fFu/201501231132-soPHKU/georeference,Národní technické muzeum
Klíč smluvených značek pro mapy v m. 1 : 10 000 a 1 : 5 000,http://staremapy.georeferencer.cz/map/Yg5trtWubJ0WIUkMdAQ9Ww/201501231139-pIY9qk/georeference,Národní technické muzeum
Plán zátopy Labe u Opatovic s úpravou z r. 1786 a 1894,http://staremapy.georeferencer.cz/map/y3ASgcXQymQNqXnPPbdqu5/201505150638-JNimju/georeference,Národní technické muzeum
Paris vers 1530,http://staremapy.georeferencer.cz/map/Y9RltC5hRuXdX55Un2thb7/201512191038-bK6Do0/georeference,Národní technické muzeum
Soubor smluvených mapových značek,http://staremapy.georeferencer.cz/map/zp1ouYJ0ouNGHlAvKyMlij/201501231140-YD0nRj/georeference,Národní technické muzeum
Nejnovější plán král. hlavního města Prahy s předměstími,http://staremapy.georeferencer.cz/map/1SKaOrEUajOHCCBRd9dx2I/201512291722-Hjgt8s/georeference,Národní technické muzeum
Map of Stockholm,http://staremapy.georeferencer.cz/map/jwN13bUlzvMr52ztx0FtLk/201601102021-OFYVWo/georeference,Národní technické muzeum
Mapa Měsíce,http://staremapy.georeferencer.cz/map/iySJCAt2eOUaT1P7cOxAXf/201501231131-tvuRHw/georeference,Národní technické muzeum
Atlas d'industrie de la république tchécoslovaque,http://staremapy.georeferencer.cz/map/pLkSo1wEBK0KudfFG3EGwy/201601091643-JJezU8/georeference,Národní technické muzeum
Československo v mapách,http://staremapy.georeferencer.cz/map/xVAYMitHeBlDPNS0XE7aM6/201601092128-qS8Pcp/georeference,Národní technické muzeum
Velká Praha,http://staremapy.georeferencer.cz/map/rMoEEr3RCz0sEOtnaQ4lxp/201501231131-qbzFsA/georeference,Národní technické muzeum
Geologishe Übersichtskarte der Österreichischen Monarchie...,http://staremapy.georeferencer.cz/map/GDhBD9ySj0VHGuE1f0fPAE/201602062119-HAAYkX/georeference,Národní technické muzeum
Nejnovější plán král. hlavního města Prahy s předměstími,http://staremapy.georeferencer.cz/map/0gAL1nEyV8Lugif5WmhfmY/201604161923-Ssf4FT/georeference,Národní technické muzeum
Nice,http://staremapy.georeferencer.cz/map/QNWdA2bHwFOqhl2n0hTCQo/201604191051-T6TrZZ/georeference,Národní technické muzeum
La Topographie de Paris ou Plan détaillé de la Ville de Paris,http://staremapy.georeferencer.cz/map/NFmoyh1yuVVRBPotnMGxFU/201604261149-UuiaGh/georeference,Národní technické muzeum
Eisenbahnkarte von Österreich-Ungarn 1910,http://staremapy.georeferencer.cz/map/CTYWsiA1pK89aNT4YuqXxn/201604271330-V2Wc45/georeference,Národní technické muzeum
Monumenta Cartographica Bohemiae II.: Müllerova mapa,http://staremapy.georeferencer.cz/map/aFScK3J0yqMnK9cowLazpC/201604241204-lAqMbr/georeference,Národní technické muzeum
Plan von Wien und den Vororten,http://staremapy.georeferencer.cz/map/KFqZVfLl9nYH8XLUpJOOJk/201604241734-xqGrFn/georeference,Národní technické muzeum
Neue Kriegskarte von Ost Asien,http://staremapy.georeferencer.cz/map/4tBPOQoZ9cWj7vF1mV8Q7P/201605301906-2UKIj6/georeference,Národní technické muzeum
Boehmen in Bildern,http://staremapy.georeferencer.cz/map/eaMwdUC7HH4ZI52snCuvj5/201508090853-mBOTCq/georeference,Národní technické muzeum
St. Petersburg,http://staremapy.georeferencer.cz/map/aIuqIyTr5O8JoTz5Fofs3o/201508090853-FOp0vn/georeference,Národní technické muzeum
Hohe Tátra,http://staremapy.georeferencer.cz/map/aPY2OEBFyBtgDYZzjRTIFs/201606141855-VEYf1X/georeference,Národní technické muzeum
Plan von Prag und dem Vororten,http://staremapy.georeferencer.cz/map/5TbV7poPxTqCD2pwVWEMlW/201606121813-bmPu4I/georeference,Národní technické muzeum
Plán assanačního obvodu král. hlav. města Prahy,http://staremapy.georeferencer.cz/map/45YNBWnw1WLwoJUmGlIWTG/201607081159-v3Rl23/georeference,Národní technické muzeum
15 let lidově demokratického československa,http://staremapy.georeferencer.cz/map/JKbeKb5iJIsfBETu1MTj1e/201607281030-Lqf7MV/georeference,Národní technické muzeum
Isochronická mapa Čech,http://staremapy.georeferencer.cz/map/QsLc4dXB1UUHQd1sdtFc3h/201508090912-VrcacN/georeference,Národní technické muzeum
Copia ab antiquissima Mappa Regni Bohemiae,http://staremapy.georeferencer.cz/map/3KCP5YeGSEBoNVWIgekQI6/201607121342-xUDp5J/georeference,Národní technické muzeum
Die Ältesten Karten von Deutschland,http://staremapy.georeferencer.cz/map/1L0jrXYrbAQstP3zHvmdQK/201607121335-MPPWoW/georeference,Národní technické muzeum
Bäderkarte der deutschen Nordsee - Küste,http://staremapy.georeferencer.cz/map/7SlGPJ6pTghWVKFcGlo3rs/201607131853-7nw4Cm/georeference,Národní technické muzeum
Die Ältesten Karten von Deutschland,http://staremapy.georeferencer.cz/map/4oEa8U0dbS7Ughu7Li9FPW/201607151118-HHDJEL/georeference,Národní technické muzeum
Mapa Měsíce,http://staremapy.georeferencer.cz/map/p6czWonDsYGpIzi2ZNRJsT/201501231131-apLrnR/georeference,Národní technické muzeum
Plán assanačního obvodu král. hlav. města Prahy,http://staremapy.georeferencer.cz/map/G2SaNN2ylavd8VzMeGdcak/201608162044-h1PQr2/georeference,Národní technické muzeum
Nice,http://staremapy.georeferencer.cz/map/ssNjy9XpsgPnGwbJOAjVSs/201608170644-zCmiZd/georeference,Národní technické muzeum
Soubor smluvených mapových značek,http://staremapy.georeferencer.cz/map/Lf0PjXNRTRM6Rbut0DGqmP/201501231124-SdhSFO/georeference,Národní technické muzeum
Instruktion für die Evidenzhaltung der Kartenwerke,http://staremapy.georeferencer.cz/map/TGHFxdzxQW5M8a8dhfdiDB/201601281852-yADtwr/georeference,Národní technické muzeum
Neuester und vollständigster Plan der königl. Haupstadt Prag und der Vororten,http://staremapy.georeferencer.cz/map/k3uiMb7Ke7LSNAE9Y0tvoK/201601281902-a9o3v1/georeference,Národní technické muzeum
St. Petersburg,http://staremapy.georeferencer.cz/map/7GTD816d2sBGKPWPRMsj4F/201501291718-Z5DKAN/georeference,Národní technické muzeum
Orientační plán hlavního města Prahy s okolím,http://staremapy.georeferencer.cz/map/E58aaLWWOC1jr9Q2MipzSR/201411251552-vVBQhh/georeference,Národní technické muzeum
Beskid Niski,http://staremapy.georeferencer.cz/map/zp0FNyhv6UYfaxMJPS89Wq/201411251630-ysKTWb/georeference,Národní technické muzeum
Horné Ponitrie,http://staremapy.georeferencer.cz/map/fXJwhyqLtt3S36cmIo23H5/201411251629-7jXIif/georeference,Národní technické muzeum
Straube´s Wegekarte vom Riesen- und Iser-Gebirge,http://staremapy.georeferencer.cz/map/8h2uFkNglJWnxQKUr4CdEZ/201411251449-6T54TT/georeference,Národní technické muzeum
"Schweden, Norwegen und Dänemark",http://staremapy.georeferencer.cz/map/1HDQbzBwag20mtOXaF1j4A/201411251604-11Rk61/georeference,Národní technické muzeum
Mapa zastupitelského okresu Přeštického,http://staremapy.georeferencer.cz/map/cLJwJojYoEti8zpMeH0YKo/201411251448-AxJJCU/georeference,Národní technické muzeum
Železniční a silniční mapa království Českého,http://staremapy.georeferencer.cz/map/nqDXbJNt7uWHBllLBwG0BT/201411251600-KYkf0q/georeference,Národní technické muzeum
Topographische Karte der in Böhmen budweiser Kreises liegenden,http://staremapy.georeferencer.cz/map/u7OmeOldq1UPlHe2tVMPuS/201411251612-k9sEGD/georeference,Národní technické muzeum
Spezial Karte von Böhmen,http://staremapy.georeferencer.cz/map/qpXRMrzq1tO1zRp0b6jnct/201411251548-qooEC0/georeference,Národní technické muzeum
Calabria Ulteriore tratta dalle Carte…,http://staremapy.georeferencer.cz/map/JMGlair6AJAwaXurJjf9mp/201411251612-W8fYBG/georeference,Národní technické muzeum
Podrobná místopisná mapa Království Českého,http://staremapy.georeferencer.cz/map/QfDA2UJgpFMKffxIAtkfsM/201411251601-AJaewk/georeference,Národní technické muzeum
Neueste Karte von der Stadt Wien mit der umliegenden Gegend von 8. Deutschen Meilen,http://staremapy.georeferencer.cz/map/agQqbWZSWo83WcvcxDGggV/201411251542-s0UMKc/georeference,Národní technické muzeum
Pilsen und dessen Umgebung 31.,http://staremapy.georeferencer.cz/map/7BM7F6XaGK02gEWnFfhPrD/201411251451-wYhQuP/georeference,Národní technické muzeum
Plan der Schlacht von Lissa oder Leuthen am 5. Dez. 1757…,http://staremapy.georeferencer.cz/map/tq2oNIr6l3PELCnhZrVr2R/201411251445-XH1enz/georeference,Národní technické muzeum
Generalkarte von Zentraleuropa,http://staremapy.georeferencer.cz/map/g2Mg6aKbGaf1CuQtxpDWqt/201411251544-LmCy4X/georeference,Národní technické muzeum
"Exactissina Tabula, qua tam Danubii Fluvii Pars Media… Hungria, Slavonia, …",http://staremapy.georeferencer.cz/map/QJdBsRfgcko2IPBCn0UZud/201411251543-W1PSrF/georeference,Národní technické muzeum
Pläne zu Paris,http://staremapy.georeferencer.cz/map/OTVSKvQ3RSXo3Ess5B1MVj/201411251449-S8S5x0/georeference,Národní technické muzeum
Plán Prahy s okolím,http://staremapy.georeferencer.cz/map/XZOa1LGh5pqnBsnDL5e3vf/201411251441-BwhI2s/georeference,Národní technické muzeum
"Angenehme Augen... Kupferplatten die Geographie, Astronomie, Heraldic, Geometrie…",http://staremapy.georeferencer.cz/map/XdqXMWxzyiRgUt0XJMm2vU/201411251536-u4hdQs/georeference,Národní technické muzeum
Plán assanačního obvodu král. hlav. města Prahy,http://staremapy.georeferencer.cz/map/psoOx0WApmbrvyBExm9zlu/201411251534-SiQZTG/georeference,Národní technické muzeum
Übersichtskarte von Mittel - Europa,http://staremapy.georeferencer.cz/map/SEYawecPzWeFgGBvEnmCuM/201411251612-wLvjKM/georeference,Národní technické muzeum
Soubor němých map pro střední školy,http://staremapy.georeferencer.cz/map/QCKM1qiOrup4PhRjvU5cJb/201411251626-aKCbXU/georeference,Národní technické muzeum
Mapa zastupitelských a soudních okresů Kr. Vinohradského a Jílovského…,http://staremapy.georeferencer.cz/map/6NNvX7mVcKtY9yNjzKUiOI/201411251451-V3tjTq/georeference,Národní technické muzeum
Východní bojiště,http://staremapy.georeferencer.cz/map/2TIENh45dyxABLE1EteSat/201411251547-lpHQWf/georeference,Národní technické muzeum
PlánKrálovského Hlavního města Prahy s okolím,http://staremapy.georeferencer.cz/map/y1OTYz4YdB9TAWVubveX2x/201411251629-z1Tleg/georeference,Národní technické muzeum
Mapa politického okresu Domažlického…,http://staremapy.georeferencer.cz/map/Zc0y7StSr10CCSeFffknM8/201411251446-glj7oQ/georeference,Národní technické muzeum
Panorama der Elbe von Obřistwy in Böhmen,http://staremapy.georeferencer.cz/map/91n3lfMXsTe0GB8BFWA2Qk/201411251450-exZHMG/georeference,Národní technické muzeum
Politische Übersichtskarte des Deutschen Reiches,http://staremapy.georeferencer.cz/map/2PXPrrtcvxDWhZ4trv1T6z/201411251538-QrhJqN/georeference,Národní technické muzeum
Übersichtskarte von Mittel - Europa,http://staremapy.georeferencer.cz/map/IvQOHTOVrIT3Uleqq8Gv3I/201411251612-EKiYuI/georeference,Národní technické muzeum
Ravensteins Kriegskarte von Nordfrankreich und Südengland,http://staremapy.georeferencer.cz/map/uTnXtxF1exfmTqEKt6ZmCd/201411251609-5F3Jzo/georeference,Národní technické muzeum
Mapy plánování ČSR,http://staremapy.georeferencer.cz/map/5P3iKvUIibqSjuZIcR8g2X/201411251550-2o6njL/georeference,Národní technické muzeum
Bez titulu: Plán stavebních úprav části Malé Strany,http://staremapy.georeferencer.cz/map/76cHgObcKuRKsI5vv6fWqY/201411251610-ad1GQ5/georeference,Národní technické muzeum
Přehledná mapa velké Prahy,http://staremapy.georeferencer.cz/map/Qk3W9ONWUPi5EnZ4lcSoHn/201411251451-exKMaJ/georeference,Národní technické muzeum
Nástěnná mapa Střední Evropy,http://staremapy.georeferencer.cz/map/CJo2zr0yAudnH3IAMFtfi9/201411251601-4b4nni/georeference,Národní technické muzeum
Marchionatus Moraviae Circulus Brunnensis,http://staremapy.georeferencer.cz/map/wcvY1YgQrMVPMPHmlIUkrV/201411251543-poQv5S/georeference,Národní technické muzeum
Jak vzniká mapa,http://staremapy.georeferencer.cz/map/2rKc19Synb6Mif9VYvsoYM/201411251559-veCIng/georeference,Národní technické muzeum
Praga celeberrima et maxima totius Bohemiae Metropolis et Universitas florentissima ad Muldam Fl.,http://staremapy.georeferencer.cz/map/jsMosZGKruO80t8KiF15hi/201411251610-K52ZpZ/georeference,Národní technické muzeum
"Stereofotogrammetrické zaměření... Vltavy, Otavy… pomocí Zeissova fototeodolitu",http://staremapy.georeferencer.cz/map/XPNbe1tADQEjB7HruSUpsz/201411251537-tc8chW/georeference,Národní technické muzeum
Exposition universelle de Bruxelles en 1910,http://staremapy.georeferencer.cz/map/NzylHktf7qR9iKYXXtG7Lz/201411251449-8WrKjs/georeference,Národní technické muzeum
Hvězdná mapa severní oblohy,http://staremapy.georeferencer.cz/map/WdmeMXSVHtDR36K2n75fXE/201411251607-MXGg7W/georeference,Národní technické muzeum
Slovanský zeměvid od P. J. Šafaříka,http://staremapy.georeferencer.cz/map/dV4x4QrwsnaaCWcyuCbwnK/201411251612-5K5RLU/georeference,Národní technické muzeum
Palestina v době Kristově,http://staremapy.georeferencer.cz/map/G0J3y7grC3NTAP84h7VULd/201411251552-DHfUeY/georeference,Národní technické muzeum
Orientační plán města Plzně,http://staremapy.georeferencer.cz/map/m2OMJfojiq3oS305kTIsIE/201411251533-ZtgFSe/georeference,Národní technické muzeum
Böhmen,http://staremapy.georeferencer.cz/map/rmaXsWKRhVnOfo8wC72AiE/201411251444-2cpt0r/georeference,Národní technické muzeum
Nouveau Paris Monumental,http://staremapy.georeferencer.cz/map/iptcmC0z3zPdgE2lKNfHhA/201411251451-Gcg8Ga/georeference,Národní technické muzeum
Oesterreichische Kaiser-Staat,http://staremapy.georeferencer.cz/map/IMpQrrzTNMoXBA3mVgoTyf/201411251545-5nzQtZ/georeference,Národní technické muzeum
Plan von Berlin,http://staremapy.georeferencer.cz/map/GbEGWUubIv4jYu2t9o4ZBY/201411251604-jwnfYM/georeference,Národní technické muzeum
Pläne zu Paris,http://staremapy.georeferencer.cz/map/YJ6pzwp6iKopcWpSsuieO2/201411251449-DCzvJV/georeference,Národní technické muzeum
Soubor přehledných map pro plánování a statistiku: 3851 – Chomutov,http://staremapy.georeferencer.cz/map/QVj8i2B4I8870Nv30PysOQ/201411251608-fHnLOm/georeference,Národní technické muzeum
Letecká mapa Evropy,http://staremapy.georeferencer.cz/map/2PkWGAr0sLbo10surl8IB6/201411251550-039wKd/georeference,Národní technické muzeum
Störungsfeuerskizze,http://staremapy.georeferencer.cz/map/3HTQ3lqn3XslwnxhGjSfEV/201411251609-1Gy3v8/georeference,Národní technické muzeum
Výškopisný plán hlavního města Prahy s okolím,http://staremapy.georeferencer.cz/map/gXlkyTHyH4prWAjp9NyvI2/201411251607-vFGHio/georeference,Národní technické muzeum
Nástěnná mapa Střední Evropy,http://staremapy.georeferencer.cz/map/HDey4z1i7bAe4IKNzVb1JL/201411251601-LlJTtY/georeference,Národní technické muzeum
bez titulu: soubor panoramat – Krymská válka,http://staremapy.georeferencer.cz/map/SgTfzhEi6NYOBiux6ab4Wv/201411251533-nYRjcM/georeference,Národní technické muzeum
Malé Karpaty južná časť,http://staremapy.georeferencer.cz/map/inQ4xvUCC7yqymUR2kNTF0/201411251627-avwYzX/georeference,Národní technické muzeum
Neuester Plan Stadt Nürnberg,http://staremapy.georeferencer.cz/map/TVMqeNxggoHmzqGHoOaZTV/201411251448-BJx1dv/georeference,Národní technické muzeum
Plan de Paris,http://staremapy.georeferencer.cz/map/ZVySEEehurb763MFq5nZBV/201411251549-sd9UIk/georeference,Národní technické muzeum
Soubor němých map pro střední školy,http://staremapy.georeferencer.cz/map/64sHzwVsW8yzffixqmEzbN/201411251626-bJm01m/georeference,Národní technické muzeum
Plán Velké Prahy,http://staremapy.georeferencer.cz/map/zTFa1i8l92yDF7xqq31kpw/201411251628-UcEDNB/georeference,Národní technické muzeum
Die Ältesten Karten von Deutschland,http://staremapy.georeferencer.cz/map/uTw1f898hBbHFDVd8N5NjI/201411251548-1CiSrh/georeference,Národní technické muzeum
Bohemiae Regnum in XVI. Circulos…,http://staremapy.georeferencer.cz/map/jYBhSzWqBwVVfrrE0ScWmm/201411251444-qAnyfP/georeference,Národní technické muzeum
Uebersichts-Karte des Russisch - Türkischen Kriegsschauplatzes,http://staremapy.georeferencer.cz/map/dsKpeKez5jak4epIoRCwv7/201411251443-EzSAGK/georeference,Národní technické muzeum
Stabilní katastr - Pracovní otisk - Brzeszcze in Galizien,http://staremapy.georeferencer.cz/map/tuRm24pvc0uMdDmsNoBjS8/201411251448-2JtAwP/georeference,Národní technické muzeum
Orientační plán města Plzně,http://staremapy.georeferencer.cz/map/VdkbxGYv6dUNaKu1DOdL6b/201411251533-bSJFbH/georeference,Národní technické muzeum
Stabilní katastr - Pracovní otisk - Brzeszcze in Galizien IX,http://staremapy.georeferencer.cz/map/WeiE8vvOQqv3iGS44W2MQq/201411251448-W6EDCg/georeference,Národní technické muzeum
Orientační plán hlavního města Prahy s okolím,http://staremapy.georeferencer.cz/map/CEJk7QWghbTgvthZ6CTjsr/201411251552-Hb2Utt/georeference,Národní technické muzeum
VZÚ v Praze účastníkům I. sjezdu slovanských geografů v Praze 1924 -soubor map,http://staremapy.georeferencer.cz/map/EyA70NdkKOD3QpiCgvfwZi/201411251534-vEyCCH/georeference,Národní technické muzeum
Český ráj,http://staremapy.georeferencer.cz/map/YaiNZTeSs9aSd6EXVBRVXo/201411251630-vj43lM/georeference,Národní technické muzeum
St. Mihiel,http://staremapy.georeferencer.cz/map/uGLMMlhPJE9Ti0tCJA3YqX/201411251609-BgAHTu/georeference,Národní technické muzeum
Územní organizace vnitřní správy,http://staremapy.georeferencer.cz/map/lG71LLhpkmppUn5yBGfCRV/201411251600-803hPO/georeference,Národní technické muzeum
Bohemia,http://staremapy.georeferencer.cz/map/UEByVNrgzu085CN8IqQfLU/201411251447-2htKyJ/georeference,Národní technické muzeum
Mapa náboženských vyznání v říši Rakousko - Uherské,http://staremapy.georeferencer.cz/map/lzz9cdYHoINLKTnNoKIquu/201411251603-he20z5/georeference,Národní technické muzeum
Eisenbahn - Karte von Österreich-Ungarn,http://staremapy.georeferencer.cz/map/ARPXKyOEvktAStzKW74KLH/201411251542-e8y1ji/georeference,Národní technické muzeum
Übersichtskarte von Mittel - Europa,http://staremapy.georeferencer.cz/map/m1T3NL3rMvsE7VaQZXwuE2/201411251627-kO4b9w/georeference,Národní technické muzeum
Italie a Albanie.,http://staremapy.georeferencer.cz/map/XsSmV9RNGAq20dx12UEWiS/201411251606-E5Gf1r/georeference,Národní technické muzeum
Eisenbahnkarte von Böhmen,http://staremapy.georeferencer.cz/map/FCf9GBv7S6wXLCIPmvoIy7/201411251541-usV0R9/georeference,Národní technické muzeum
Soubor map okresů Pražského kraje,http://staremapy.georeferencer.cz/map/6iSPYytb1NoXkFUe8ZqD8r/201411251535-rlxQKp/georeference,Národní technické muzeum
Rozsah panství Habsburků … za Karla V. (1555) Říše Napoleonova (1810) a Evropa po kongresu Vídeňském (1815),http://staremapy.georeferencer.cz/map/u68RQjBx4hcE8TMmvCq23U/201411251602-VEv9dd/georeference,Národní technické muzeum
Rom unter den Keisern,http://staremapy.georeferencer.cz/map/XOIkdJxKRPvN1RLiQO07hS/201411251542-iI2ibP/georeference,Národní technické muzeum
Calculus Eclipsis Solis Observatae die 19. Novemberis 1816,http://staremapy.georeferencer.cz/map/Ye9JYp7UzypBSJn93QBdkr/201411251541-joEHiL/georeference,Národní technické muzeum
Geologishe Übersichtskarte der Österreichischen Monarchie...,http://staremapy.georeferencer.cz/map/yJrDBm0CTmjZcEjlRrpmt2/201411251446-OA8Zkx/georeference,Národní technické muzeum
Situation der projektierten Riesengebirgsstrasse…,http://staremapy.georeferencer.cz/map/O3LdsRpkQLlodovW29h7SQ/201411251442-utb9NX/georeference,Národní technické muzeum
Liste des Rues et Plan de Marseille,http://staremapy.georeferencer.cz/map/JKuNpih67Y1KcrUGxNAryM/201411251549-jyjivO/georeference,Národní technické muzeum
